Temp_min,Temp_max,DisO2_min,DisO2_max,pH_min,pH_max,Conductivity_min,Conductivity_max,N_min,N_max,Fecal_Col_min,Fecal_Col_max,Total_Coli_min,Total_Coli_max,BOD_avg,Type_RIVER,Type_LAKE ,Type_TANK ,Type_WETLAND ,Type_POND 
22.0,34.0,6.5,8.0,6.9,8.3,108.0,344.0,0.3,1.4,3200.0,43000.0,3900.0,92000.0,3.15,1,0,0,0,0
20.0,30.0,7.1,9.2,7.5,8.2,280.0,306.0,0.32,0.92,330.0,92000.0,2700.0,9200000.0,1.45,1,0,0,0,0
22.0,31.0,7.2,12.5,7.3,8.5,143.0,550.0,0.42,1.1,1400.0,130000.0,35000.0,2800000.0,1.65,1,0,0,0,0
22.0,32.0,0.3,3.1,6.9,7.7,523.0,4522.0,0.3,2.2,13000.0,79000.0,49000.0,110000.0,12.85,1,0,0,0,0
20.0,35.0,0.6,1.7,7.1,7.6,975.0,20160.0,0.3,3.3,4500.0,79000.0,13000.0,130000.0,9.65,1,0,0,0,0
20.0,20.0,9.2,9.2,7.6,7.6,2257.0,2257.0,0.58,0.58,4600.0,4600.0,12000.0,12000.0,1.3,1,0,0,0,0
20.0,30.0,6.4,7.6,6.5,7.6,44.0,140.0,0.3,0.49,1400.0,9000.0,3400.0,28000.0,1.95,1,0,0,0,0
20.0,31.0,4.5,6.4,6.1,8.2,97.0,231.0,0.3,0.63,90000.0,170000.0,140000.0,280000.0,16.25,1,0,0,0,0
21.0,31.5,7.6,8.8,7.3,8.4,132.0,232.0,0.3,1.0,2100.0,4700.0,2600.0,8400.0,2.3,1,0,0,0,0
16.0,32.0,5.8,9.9,6.6,8.3,74.0,959.0,0.3,0.51,2200.0,160000.0,3300.0,160000.0,1.9,1,0,0,0,0
14.5,27.0,5.1,7.1,6.6,8.3,100.0,440.0,0.3,1.52,23.0,93.0,64.0,210.0,1.4,1,0,0,0,0
16.5,26.0,4.8,6.3,7.6,8.4,190.0,816.0,0.3,4.42,39.0,120.0,75.0,240.0,1.7,1,0,0,0,0
17.0,27.0,4.7,7.1,8.1,8.5,500.0,838.0,0.3,5.82,64.0,150.0,120.0,460.0,2.2,1,0,0,0,0
22.0,26.3,7.6,9.3,7.7,8.1,375.0,707.0,0.32,2.88,700.0,23000.0,1700.0,79000.0,1.7,1,0,0,0,0
20.4,34.0,5.6,6.9,7.8,8.3,200.0,463.0,0.3,3.7,21.0,23.0,28.0,39.0,1.2,1,0,0,0,0
20.0,33.0,3.6,7.0,7.9,8.6,250.0,902.0,0.3,5.74,75.0,460.0,150.0,1100.0,2.45,1,0,0,0,0
18.0,32.0,4.3,7.4,7.8,8.6,340.0,850.0,0.3,4.16,39.0,150.0,75.0,460.0,2.1,1,0,0,0,0
17.0,32.0,4.4,7.0,7.9,8.7,260.0,870.0,0.3,5.26,23.0,240.0,93.0,460.0,2.0,1,0,0,0,0
20.2,34.0,2.8,6.0,7.7,8.6,270.0,1652.0,0.3,5.12,64.0,240.0,120.0,460.0,2.2,1,0,0,0,0
20.3,34.0,3.1,5.6,8.0,8.7,300.0,1352.0,0.3,5.84,93.0,240.0,210.0,460.0,2.9,1,0,0,0,0
20.0,32.0,7.5,9.8,7.4,8.6,273.0,399.0,0.32,0.43,18.0,2400.0,2200.0,16000.0,2.7,1,0,0,0,0
25.0,30.0,6.8,7.6,7.4,7.9,296.0,398.0,0.3,0.82,2.0,4.0,47.0,49.0,1.85,1,0,0,0,0
18.0,28.0,6.6,7.7,7.3,7.5,228.0,660.0,0.3,1.98,2.0,4.0,31.0,70.0,1.8,1,0,0,0,0
19.0,22.0,6.6,7.5,6.8,8.3,270.0,405.0,0.3,0.72,2.0,2.0,17.0,41.0,1.1,1,0,0,0,0
18.0,26.0,6.8,7.9,7.4,8.5,100.0,582.0,0.38,2.68,2.0,6.0,27.0,70.0,1.7999999999999998,1,0,0,0,0
25.0,30.0,6.8,7.8,7.6,7.9,298.0,392.0,0.3,0.83,2.0,2.0,48.0,49.0,2.05,1,0,0,0,0
20.2,32.0,4.3,6.2,8.0,8.7,270.0,748.0,0.3,5.29,39.0,93.0,75.0,150.0,2.2,1,0,0,0,0
16.5,20.5,5.1,7.2,8.0,8.7,300.0,730.0,0.3,3.82,64.0,150.0,120.0,240.0,1.95,1,0,0,0,0
16.5,20.5,3.9,6.7,7.9,8.5,950.0,2700.0,0.3,10.32,75.0,150.0,150.0,240.0,3.45,1,0,0,0,0
16.0,31.0,3.6,8.0,7.8,8.6,592.0,4400.0,0.3,10.12,75.0,150.0,150.0,240.0,2.6,1,0,0,0,0
17.0,32.0,3.7,6.0,7.5,8.5,690.0,1951.0,0.3,8.37,75.0,460.0,460.0,1100.0,1.9,1,0,0,0,0
18.0,31.0,3.1,6.9,7.4,8.7,366.0,870.0,0.3,3.14,75.0,240.0,120.0,460.0,2.8000000000000003,1,0,0,0,0
